sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.00,-56.239,-128.513,Mul,GPU-0,0:(4096x1001) 1:(1)->(4096x1001) -t f32,aggregated,220394.737,503631.579,-283236.842,283236.842,0.438,442526.116,220394.737,1.000,251815.789,2.000,0.500
0.00,-89.844,-884.641,L2Loss,GPU-0,0:(4096x1001)->(1) -t f32,aggregated,139815.789,1376684.211,-1236868.422,1236868.422,0.102,2348120.720,139815.789,1.000,1376684.211,1.000,1.000
0.00,-87.452,-696.970,Mul,GPU-0,0:(4096) 1:(1)->(4096) -t f32,aggregated,20842.105,166105.263,-145263.158,145263.158,0.125,272299.380,10421.053,2.000,41526.316,4.000,0.500
0.00,-14.734,-17.280,ApplyGradientDescent,GPU-0,0:(4096) 1:(1) 2:(4096)->(4096) -t f32 -use_locking 0,aggregated,25736.842,30184.211,-4447.369,4447.369,0.853,5102.648,12868.421,2.000,15092.105,2.000,1.000
0.00,-55.552,-124.982,Mul,GPU-0,0:(3x3x384x384) 1:(1)->(3x3x384x384) -t f32,aggregated,74684.211,168026.316,-93342.105,93342.105,0.444,145195.581,74684.211,1.000,84013.158,2.000,0.500
0.00,-16.832,-20.238,VariableV2,GPU-0,0:(none)->(384) -t f32,aggregated,2210.526,2657.895,-447.369,447.369,0.832,522.669,1105.263,2.000,1328.947,2.000,1.000
0.00,-1.371,-1.390,ApplyGradientDescent,GPU-0,0:(9216x4096) 1:(1) 2:(9216x4096)->(9216x4096) -t f32 -use_locking 0,aggregated,2883157.895,2923236.842,-40078.947,40078.947,0.986,40628.448,2883157.895,1.000,2923236.842,1.000,1.000
0.00,-69.115,-223.785,Mul,GPU-0,0:(64) 1:(1)->(64) -t f32,aggregated,10289.474,33315.789,-23026.315,23026.315,0.309,38941.027,10289.474,1.000,16657.895,2.000,0.500
0.00,-6.452,-6.896,Identity,GPU-0,0:(9216x4096)->(9216x4096) -t f32,aggregated,763.158,815.789,-52.631,52.631,0.935,56.027,763.158,1.000,815.789,1.000,1.000
0.00,-12.727,-14.583,VariableV2,GPU-0,0:(none)->(192) -t f32,aggregated,1263.158,1447.368,-184.210,184.210,0.873,207.655,1263.158,1.000,1447.368,1.000,1.000
0.00,-12.183,-13.873,ApplyGradientDescent,GPU-0,0:(1001) 1:(1) 2:(1001)->(1001) -t f32 -use_locking 0,aggregated,13657.895,15552.632,-1894.737,1894.737,0.878,2125.568,13657.895,1.000,15552.632,1.000,1.000
0.00,-4.590,-4.811,ApplyGradientDescent,GPU-0,0:(3x3x384x256) 1:(1) 2:(3x3x384x256)->(3x3x384x256) -t f32 -use_locking 0,aggregated,73842.105,77394.737,-3552.632,3552.632,0.954,3715.708,73842.105,1.000,77394.737,1.000,1.000

Summary of sys1 vs sys2 comparison:
sys1: /home/ndr/work_february/TensorScope_test_git/characterization_scripts/../all_results/alexnet/tf_cnn_benchmarks/GPU_4270_180/software/blocking/xla_off/fp32/128/NHWC/extra_param1/extra_param2/stats_tensorflow_ops.csv
sys2: /home/ndr/work_february/TensorScope_test_git/characterization_scripts/../all_results/alexnet/tf_cnn_benchmarks/GPU_4270_180/software/blocking/xla_off/fp16/128/NHWC/extra_param1/extra_param2/stats_tensorflow_ops.csv


*** CONCLUSION 1: sys2 will take about 35% more hours to train than sys1***
*** CONCLUSION 2: sys1 will take about 26% less hours to train than sys2***


sys1: 0.017 seconds
sys2: 0.024 seconds

sys1 ops > 100.0 ns: 17461342.102 ns (100.00% of all ops)
sys2 ops > 100.0 ns: 23581394.740 ns (100.00% of all ops)

sys1 lag vs sys2 (sum of diff_i=(sys1_op_i - sys2_op_i) if diff_i > 0):
87447.36 ns (0.00% of sys2)

sys1 lag coverage after discarding sys1 ops < 100.0 ns:
100.00% of total sys1 lag (87447.36 ns)

Pearson correlation coefficient: 0.926061
Op time difference min: -89.844% max: 67.112% avg abs: 20.829%

