reason,op name,device,input tensors -> output tensors,full path,sys1 total (ns),sys2 total (ns),sys1 time for 1 occurence (ns),sys1 occurences,sys2 time for 1 occurence (ns),sys2 occurences
unique to sys1,Conv2DBackpropFilter,GPU-0,0:(128x64x27x27) 1:(4) 2:(128x192x27x27)->(5x5x64x192) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,5069289.474,0,5069289.474,1.0,0,0
unique to sys1,RandomUniformInt,GPU-0,0:(1) 1:(1) 2:(1)->(128) -t i32 -Tout i32 -seed i: 123 -seed2 i: 16,aggregated,89973.684,0,89973.684,1.0,0,0
unique to sys1,Mul,GPU-0,0:(1) 1:(128x4096)->(128x4096) -t f32,aggregated,161605.263,0,40401.316,4.0,0,0
unique to sys1,ReluGrad,GPU-0,0:(128x384x13x13) 1:(128x384x13x13)->(128x384x13x13) -t f32,aggregated,1294789.474,0,647394.737,2.0,0,0
unique to sys1,Conv2DBackpropInput,GPU-0,0:(4) 1:(5x5x64x192) 2:(128x192x27x27)->(128x64x27x27) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,4493921.053,0,4493921.053,1.0,0,0
unique to sys1,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x384x13x13)->(3x3x384x384) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,8768868.421,0,8768868.421,1.0,0,0
unique to sys1,Relu,GPU-0,0:(128x64x55x55)->(128x64x55x55) -t f32,aggregated,1303526.316,0,1303526.316,1.0,0,0
unique to sys1,Relu,GPU-0,0:(128x256x13x13)->(128x256x13x13) -t f32,aggregated,298710.526,0,298710.526,1.0,0,0
unique to sys1,ReluGrad,GPU-0,0:(128x256x13x13) 1:(128x256x13x13)->(128x256x13x13) -t f32,aggregated,438157.895,0,438157.895,1.0,0,0
unique to sys1,Conv2DBackpropFilter,GPU-0,0:(128x384x13x13) 1:(4) 2:(128x256x13x13)->(3x3x384x256) -t f32 -data_format NHWC -p s -cudnn 1,aggregated,6082526.316,0,6082526.316,1.0,0,0
unique to sys1,MaxPoolGrad,GPU-0,0:(128x256x13x13) 1:(128x256x6x6) 2:(128x256x6x6)->(128x256x13x13) -t f32 -data_format NHWC -ksize list { i: 1 i: 3 i: 3 i: 1} -strides 1 2 2 1,aggregated,820736.842,0,820736.842,1.0,0,0
unique to sys1,Conv2D,GPU-0,0:(128x3x227x227) 1:(11x11x3x64)->(128x64x55x55) -t f32 -data_format NHWC -strides list { i: 1 i: 4 i: 4 i: 1} -cudnn 1,aggregated,6464631.579,0,6464631.579,1.0,0,0
unique to sys1,MatMul,GPU-0,0:(128x4096) 1:(4096x4096)->(128x4096) -t f32 -tr_a 0 -tr_b 0,aggregated,1366078.947,0,1366078.947,1.0,0,0
