sys1 op optimization potential (100%*op_diff/total_diff),sys1 op is slower than sys2 op by X1%=100%*(sys1-sys2)/sys2,sys2 op is faster than sys1 op by X2%=100%*(sys1-sys2)/sys1,op,device,input tensors -> output tensors,full path,sys1 total time (ns),sys2 total time (ns),sys1-sys2 (ns),abs(sys1-sys2) (ns),sys1/sys2,(1+abs(1-sys1/sys2))*abs(sys1-sys2),sys1 time per occ (ns),sys1 occurences,sys2 time per occ (ns),sys2 occurences,(sys1 occ)/(sys2 occ)
0.00,5.034,4.793,ApplyGradientDescent,GPU-0,0:(192) 1:(1) 2:(192)->(192) -t fX -use_locking 0,aggregated,12078.947,11500.000,578.947,578.947,1.050,608.093,12078.947,1.000,11500.000,1.000,1.000
0.00,4.698,4.487,Add,GPU-0,0:(1) 1:(1)->(1) -t fX,aggregated,12315.789,11763.158,552.631,552.631,1.047,578.594,12315.789,1.000,11763.158,1.000,1.000
0.00,4.810,4.589,ApplyGradientDescent,GPU-0,0:(11x11x3x64) 1:(1) 2:(11x11x3x64)->(11x11x3x64) -t fX -use_locking 0,aggregated,10894.737,10394.737,500.000,500.000,1.048,524.051,10894.737,1.000,10394.737,1.000,1.000
0.00,2.140,2.095,ApplyGradientDescent,GPU-0,0:(384) 1:(1) 2:(384)->(384) -t fX -use_locking 0,aggregated,23868.421,23368.421,500.000,500.000,1.021,510.698,11934.211,2.000,11684.211,2.000,1.000
0.00,0.024,0.024,BiasAdd,GPU-0,0:(128x64x55x55) 1:(64)->(128x64x55x55) -t fX -data_format NHWC,aggregated,1627684.211,1627289.474,394.737,394.737,1.000,394.833,1627684.211,1.000,1627289.474,1.000,1.000
0.00,15.508,13.426,_Retval,CPU-0,0:(1)->(none),aggregated,2842.105,2460.526,381.579,381.579,1.155,440.754,1421.053,2.000,1230.263,2.000,1.000
0.00,0.952,0.943,AddN,GPU-0,0:(5x5x64x192) 1:(5x5x64x192)->(5x5x64x192) -N i: 2 -t fX,aggregated,33473.684,33157.895,315.789,315.789,1.010,318.797,33473.684,1.000,33157.895,1.000,1.000
0.00,2.710,2.639,VariableV2,CPU-0,0:(none)->(1) -t i64,aggregated,9973.684,9710.526,263.158,263.158,1.027,270.290,9973.684,1.000,9710.526,1.000,1.000
0.00,0.394,0.392,AddN,GPU-0,0:(3x3x192x384) 1:(3x3x192x384)->(3x3x192x384) -N i: 2 -t fX,aggregated,60421.053,60184.211,236.842,236.842,1.004,237.774,60421.053,1.000,60184.211,1.000,1.000
0.00,1.070,1.059,Sum,GPU-0,0:(128) 1:(1)->(1) -t fX -Tidx i32 -keep_dims b: 0,aggregated,17394.737,17210.526,184.211,184.211,1.011,186.183,17394.737,1.000,17210.526,1.000,1.000
0.00,15.909,13.725,Identity,CPU-0,0:(none)->(1),aggregated,1342.105,1157.895,184.210,184.210,1.159,213.516,1342.105,1.000,1157.895,1.000,1.000
0.00,19.048,16.000,Identity,GPU-0,0:(1001)->(1001) -t fX,aggregated,986.842,828.947,157.895,157.895,1.190,187.970,986.842,1.000,828.947,1.000,1.000
0.00,2.427,2.370,Const,GPU-0,0:(none)->(4),aggregated,5552.632,5421.053,131.579,131.579,1.024,134.773,925.439,6.000,903.509,6.000,1.000
0.00,6.557,6.154,Identity,GPU-0,0:(4096)->(4096) -t fX,aggregated,1710.526,1605.263,105.263,105.263,1.066,112.165,855.263,2.000,802.632,2.000,1.000
0.00,0.482,0.479,Mul,GPU-0,0:(128) 1:(128x1001)->(128x1001) -t fX,aggregated,16473.684,16394.737,78.947,78.947,1.005,79.327,16473.684,1.000,16394.737,1.000,1.000
0.00,4.478,4.286,VariableV2,GPU-0,0:(none)->(128x227x227x3) -t fX,aggregated,1842.105,1763.158,78.947,78.947,1.045,82.482,1842.105,1.000,1763.158,1.000,1.000
0.00,11.538,10.345,Identity,GPU-0,0:(11x11x3x64)->(11x11x3x64) -t fX,aggregated,763.158,684.211,78.947,78.947,1.115,88.056,763.158,1.000,684.211,1.000,1.000
0.00,9.259,8.475,Identity,GPU-0,0:(4096x4096)->(4096x4096) -t fX,aggregated,776.316,710.526,65.790,65.790,1.093,71.882,776.316,1.000,710.526,1.000,1.000
0.00,7.273,6.780,Identity,GPU-0,0:(128x227x227x3)->(128x227x227x3) -t fX,aggregated,776.316,723.684,52.632,52.632,1.073,56.460,776.316,1.000,723.684,1.000,1.000
0.00,1.802,1.770,Const,CPU-0,0:(none)->(1) -t i64,aggregated,2973.684,2921.053,52.631,52.631,1.018,53.579,2973.684,1.000,2921.053,1.000,1.000
0.00,3.175,3.077,VariableV2,GPU-0,0:(none)->(3x3x384x256) -t fX,aggregated,1710.526,1657.895,52.631,52.631,1.032,54.302,1710.526,1.000,1657.895,1.000,1.000
0.00,5.634,5.333,NoOp,CPU-0,0:(none)->(none),aggregated,986.842,934.211,52.631,52.631,1.056,55.596,986.842,1.000,934.211,1.000,1.000
0.00,5.357,5.085,Identity,GPU-0,0:(64)->(64) -t fX,aggregated,776.316,736.842,39.474,39.474,1.054,41.589,776.316,1.000,736.842,1.000,1.000
0.00,2.326,2.273,VariableV2,GPU-0,0:(none)->(256) -t fX,aggregated,1157.895,1131.579,26.316,26.316,1.023,26.928,1157.895,1.000,1131.579,1.000,1.000
0.00,3.571,3.448,Identity,GPU-0,0:(3x3x192x384)->(3x3x192x384) -t fX,aggregated,763.158,736.842,26.316,26.316,1.036,27.256,763.158,1.000,736.842,1.000,1.000
0.00,3.846,3.704,Identity,GPU-0,0:(5x5x64x192)->(5x5x64x192) -t fX,aggregated,710.526,684.211,26.315,26.315,1.038,27.327,710.526,1.000,684.211,1.000,1.000
0.00,1.852,1.818,Identity,GPU-0,0:(192)->(192) -t fX,aggregated,723.684,710.526,13.158,13.158,1.019,13.402,723.684,1.000,710.526,1.000,1.000
0.00,0.800,0.794,Const,GPU-0,0:(none)->(2) -t i32,aggregated,1657.895,1644.737,13.158,13.158,1.008,13.263,828.947,2.000,822.368,2.000,1.000
0.00,-69.115,-223.785,Mul,GPU-0,0:(64) 1:(1)->(64) -t fX,aggregated,10289.474,33315.789,-23026.315,23026.315,0.309,38941.027,10289.474,1.000,16657.895,2.000,0.500
0.00,-55.552,-124.982,Mul,GPU-0,0:(3x3x384x384) 1:(1)->(3x3x384x384) -t fX,aggregated,74684.211,168026.316,-93342.105,93342.105,0.444,145195.581,74684.211,1.000,84013.158,2.000,0.500
0.00,-48.667,-94.805,Mul,GPU-0,0:(11x11x3x64) 1:(1)->(11x11x3x64) -t fX,aggregated,12157.895,23684.211,-11526.316,11526.316,0.513,17135.790,12157.895,1.000,11842.105,2.000,0.500
0.00,-5.866,-6.232,BiasAdd,GPU-0,0:(128x4096) 1:(4096)->(128x4096) -t fX -data_format NHWC,aggregated,81078.947,86131.579,-5052.632,5052.632,0.941,5349.028,40539.474,2.000,43065.789,2.000,1.000
0.00,-22.756,-29.460,L2Loss,GPU-0,0:(5x5x64x192)->(1) -t fX,aggregated,35105.263,45447.368,-10342.105,10342.105,0.772,12695.578,35105.263,1.000,45447.368,1.000,1.000
0.00,-4.286,-4.478,Identity,GPU-0,0:(4096x1001)->(4096x1001) -t fX,aggregated,881.579,921.053,-39.474,39.474,0.957,41.166,881.579,1.000,921.053,1.000,1.000
0.00,-63.597,-174.704,L2Loss,GPU-0,0:(4096)->(1) -t fX,aggregated,31105.263,85447.368,-54342.105,54342.105,0.364,88902.144,15552.632,2.000,42723.684,2.000,1.000
0.00,-17.475,-21.175,L2Loss,GPU-0,0:(384)->(1) -t fX,aggregated,21500.000,26052.632,-4552.632,4552.632,0.825,5348.193,10750.000,2.000,13026.316,2.000,1.000
0.00,-87.452,-696.970,Mul,GPU-0,0:(4096) 1:(1)->(4096) -t fX,aggregated,20842.105,166105.263,-145263.158,145263.158,0.125,272299.380,10421.053,2.000,41526.316,4.000,0.500
0.00,-14.949,-17.577,AddN,GPU-0,0:(256) 1:(256)->(256) -N i: 2 -t fX,aggregated,11078.947,13026.316,-1947.369,1947.369,0.851,2238.491,11078.947,1.000,13026.316,1.000,1.000
0.00,-14.734,-17.280,ApplyGradientDescent,GPU-0,0:(4096) 1:(1) 2:(4096)->(4096) -t fX -use_locking 0,aggregated,25736.842,30184.211,-4447.369,4447.369,0.853,5102.648,12868.421,2.000,15092.105,2.000,1.000
0.00,-52.245,-109.401,Mul,GPU-0,0:(9216x4096) 1:(1)->(9216x4096) -t fX,aggregated,1973552.632,4132631.579,-2159078.947,2159078.947,0.478,3287082.208,1973552.632,1.000,2066315.789,2.000,0.500
0.00,-23.625,-30.932,AddN,GPU-0,0:(192) 1:(192)->(192) -N i: 2 -t fX,aggregated,12421.053,16263.158,-3842.105,3842.105,0.764,4749.787,12421.053,1.000,16263.158,1.000,1.000
0.00,-3.293,-3.405,MatMul,GPU-0,0:(128x9216) 1:(128x4096)->(9216x4096) -t fX -tr_a 1 -tr_b 0,aggregated,2799684.211,2895026.316,-95342.105,95342.105,0.967,98482.013,2799684.211,1.000,2895026.316,1.000,1.000
0.00,-1.371,-1.390,ApplyGradientDescent,GPU-0,0:(9216x4096) 1:(1) 2:(9216x4096)->(9216x4096) -t fX -use_locking 0,aggregated,2883157.895,2923236.842,-40078.947,40078.947,0.986,40628.448,2883157.895,1.000,2923236.842,1.000,1.000
0.00,-13.889,-16.129,VariableV2,GPU-0,0:(none)->(11x11x3x64) -t fX,aggregated,1631.579,1894.737,-263.158,263.158,0.861,299.708,1631.579,1.000,1894.737,1.000,1.000
0.00,-73.467,-276.891,Mul,GPU-0,0:(1) 1:(1)->(1) -t fX,aggregated,25394.737,95710.526,-70315.789,70315.789,0.265,121974.790,12697.368,2.000,23927.632,4.000,0.500
0.00,-4.018,-4.186,L2Loss,GPU-0,0:(3x3x384x256)->(1) -t fX,aggregated,50289.474,52394.737,-2105.263,2105.263,0.960,2189.854,50289.474,1.000,52394.737,1.000,1.000
0.00,-17.073,-20.588,VariableV2,GPU-0,0:(none)->(1001) -t fX,aggregated,3578.947,4315.789,-736.842,736.842,0.829,862.644,3578.947,1.000,4315.789,1.000,1.000
0.00,-89.844,-884.641,L2Loss,GPU-0,0:(4096x1001)->(1) -t fX,aggregated,139815.789,1376684.211,-1236868.422,1236868.422,0.102,2348120.720,139815.789,1.000,1376684.211,1.000,1.000
0.00,-82.615,-475.194,Mul,GPU-0,0:(192) 1:(1)->(192) -t fX,aggregated,10184.211,58578.947,-48394.736,48394.736,0.174,88375.831,10184.211,1.000,29289.474,2.000,0.500
0.00,-20.268,-25.421,BiasAddGrad,GPU-0,0:(128x192x27x27)->(192) -t fX -data_format NHWC,aggregated,484684.211,607894.737,-123210.526,123210.526,0.797,148183.326,484684.211,1.000,607894.737,1.000,1.000
0.00,-6.765,-7.256,Conv2D,GPU-0,0:(128x64x27x27) 1:(5x5x64x192)->(128x192x27x27) -t fX -data_format NHWC -p s -cudnn 1,aggregated,4721526.316,5064131.579,-342605.263,342605.263,0.932,365783.643,4721526.316,1.000,5064131.579,1.000,1.000
0.00,-19.608,-24.390,VariableV2,GPU-0,0:(none)->(64) -t fX,aggregated,1078.947,1342.105,-263.158,263.158,0.804,314.758,1078.947,1.000,1342.105,1.000,1.000
0.00,-9.091,-10.000,VariableV2,GPU-0,0:(none)->(9216x4096) -t fX,aggregated,1315.789,1447.368,-131.579,131.579,0.909,143.541,1315.789,1.000,1447.368,1.000,1.000
