787.4997658079624	GPU-0	Identity	1001 	1001	-	0.0ms 0TOps 0GBs
16347.111111111111	GPU-0	Sum	1 -Tidx i32 -keep_dims b: 0	128	1	0.0ms 0TOps 0GBs
13991.444444444447	GPU-0	L2Loss	1 	384	-	0.0ms 0TOps 0GBs
1848.3111111111139	GPU-0	Floor	128x4096 f16	128x4096	-	0.0ms 0TOps 160GBs
13776.91111111111	GPU-0	ApplyGradientDescent	4096 -use_locking 0	4096	1 4096	0.0ms 0TOps 0GBs
5273.288888888888	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 140GBs
82418.93067915738	GPU-0	MatMul	128x4096 f16	128x9216	9216x4096	2.5ms 4TOps 60GBs
887.4997658079625	CPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
12074.933333333334	GPU-0	Mul	1 	1	1	0.0ms 0TOps 0GBs
1699.9997658079624	GPU-0	VariableV2	3x3x192x384 	none	-	0.0ms 0TOps 0GBs
1699.9997658079624	GPU-0	VariableV2	3x3x384x384 	none	-	0.0ms 0TOps 0GBs
2746.666666666668	GPU-0	Cast	5x5x64x192 -DstT f16 -SrcT f32 	5x5x64x192	-	0.0ms 0TOps 140GBs
148489.17777777778	GPU-0	L2Loss	1 	9216x4096	-	1.0ms 0TOps 150GBs
11057.91111111111	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
15508.955555555554	GPU-0	L2Loss	1 	4096	-	0.0ms 0TOps 0GBs
674.9997658079625	GPU-0	Identity	3x3x384x384 	3x3x384x384	-	0.0ms 0TOps 0GBs
749.9997658079626	GPU-0	Const	1 i32	none	-	0.0ms 0TOps 0GBs
179364.53333333327	GPU-0	BiasAddGrad	192 f16	128x192x27x27	-	0.6ms 0TOps 120GBs
12457.933333333336	GPU-0	Cast	384 -DstT f32 -SrcT f16 	384	-	0.0ms 0TOps 0GBs
1399.9555555555557	CPU-0	_Retval	none 	1	-	0.0ms 0TOps 0GBs
45942.933333333334	GPU-0	Mul	4096 	4096	1	0.0ms 0TOps 0GBs
870296.6444444449	GPU-0	Transpose	128x3x227x227 	128x227x227x3	4	1.8ms 0TOps 90GBs
699.9997658079626	GPU-0	Identity	64 	64	-	0.0ms 0TOps 0GBs
26203.37777777778	GPU-0	Mul	3x3x384x256 	3x3x384x256	1	0.1ms 0TOps 100GBs
25917.577777777777	GPU-0	Mul	3x3x384x384 	3x3x384x384	1	0.1ms 0TOps 120GBs
9322.133333333333	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
12882.91111111111	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
402730.1555555556	GPU-0	MaxPool	128x64x27x27 f16  ksize1331  str1221	128x64x55x55	-	1.1ms 0TOps 110GBs
144355.3333333333	GPU-0	BiasAdd	128x384x13x13 f16	128x384x13x13	384	0.5ms 0TOps 120GBs
4099.999765807963	GPU-0	VariableV2	1001 	none	-	0.0ms 0TOps 0GBs
987.4997658079624	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
29108.77777777778	GPU-0	L2Loss	1 	3x3x384x384	-	0.1ms 0TOps 90GBs
25707.911111111112	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
39733.13333333333	GPU-0	BiasAddGrad	4096 f16	128x4096	-	0.1ms 0TOps 40GBs
874.9997658079627	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
974.9997658079625	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
36348.311111111114	GPU-0	L2Loss	1 	5x5x64x192	-	0.0ms 0TOps 30GBs
1799.9997658079626	GPU-0	VariableV2	11x11x3x64 	none	-	0.0ms 0TOps 0GBs
999.9997658079625	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
1749.9997658079628	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
11649.4	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
84823.48888888885	GPU-0	Mul	4096x1001 	4096x1001	1	0.3ms 0TOps 120GBs
887.4997658079625	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
12357.933333333332	GPU-0	AddN	256 -N i: 2 	256	256	0.0ms 0TOps 0GBs
13688.177777777775	GPU-0	ApplyGradientDescent	3x3x192x384 -use_locking 0	3x3x192x384	1 3x3x192x384	0.1ms 0TOps 130GBs
9730.511111111111	GPU-0	Cast	1001 -DstT f32 -SrcT f16 	1001	-	0.0ms 0TOps 0GBs
29746.111111111117	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 110GBs
3924.9997658079624	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
28049.622222222217	GPU-0	AddN	1 -N i: 16 	16x1	-	0.0ms 0TOps 0GBs
40433.133333333346	GPU-0	BiasAddGrad	4096 f16	128x4096	-	0.1ms 0TOps 40GBs
11363.599999999999	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
8326.177777777777	GPU-0	ApplyGradientDescent	11x11x3x64 -use_locking 0	11x11x3x64	1 11x11x3x64	0.0ms 0TOps 30GBs
300289.1333333333	GPU-0	BiasAddGrad	64 f16	128x64x55x55	-	0.9ms 0TOps 110GBs
12666.444444444445	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
1199.9997658079626	GPU-0	VariableV2	384 	none	-	0.0ms 0TOps 0GBs
22322.133333333335	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
10070.733333333334	GPU-0	AddN	64 -N i: 2 	64	64	0.0ms 0TOps 0GBs
28635.244444444426	GPU-0	ApplyGradientDescent	4096x1001 -use_locking 0	4096x1001	1 4096x1001	0.3ms 0TOps 150GBs
649.9997658079626	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
1216736.7333333334	GPU-0	L2Loss	1 	4096x1001	-	1.4ms 0TOps 10GBs
987.4997658079624	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
9877.577777777777	GPU-0	Mul	128x1001 	128	128x1001	0.0ms 0TOps 60GBs
78536.28196721314	GPU-0	MatMul	4096x1001 f16 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
728.4000000000015	GPU-0	Cast	3x3x384x256 -DstT f16 -SrcT f32 	3x3x384x256	-	0.0ms 0TOps 170GBs
13826.400000000009	GPU-0	AddN	3x3x384x384 -N i: 2 	3x3x384x384	3x3x384x384	0.1ms 0TOps 150GBs
687.4997658079626	GPU-0	Identity	3x3x384x256 	3x3x384x256	-	0.0ms 0TOps 0GBs
12832.91111111111	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
798658.3333333333	GPU-0	BiasAdd	128x192x27x27 f16	128x192x27x27	192	1.7ms 0TOps 90GBs
11574.377777777778	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
2523.2888888888883	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 150GBs
134320.93333333335	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 140GBs
