Node	Time
84589.20281030444	GPU-0	Mul	3x3x384x384 	3x3x384x384	1	0.1ms 0TOps 120GBs
30177.21592505855	GPU-0	Mul	128x4096 f16	128x4096	128x4096	0.0ms 0TOps 200GBs
9324.985011709601	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
12899.910070257612	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
1073537.7138173303	GPU-0	MaxPool	128x64x27x27 f16  ksize1331  str1221	128x64x55x55	-	1.1ms 0TOps 110GBs
511604.6398126463	GPU-0	BiasAdd	128x384x13x13 f16	128x384x13x13	384	0.5ms 0TOps 120GBs
4099.999765807963	GPU-0	VariableV2	1001 	none	-	0.0ms 0TOps 0GBs
494104.63981264643	GPU-0	ReluGrad	128x384x13x13 f16	128x384x13x13	128x384x13x13	0.5ms 0TOps 190GBs
987.4997658079624	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
57667.60866510538	GPU-0	L2Loss	1 	3x3x384x384	-	0.1ms 0TOps 90GBs
25724.910070257614	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
51353.17517564403	GPU-0	BiasAddGrad	4096 f16	128x4096	-	0.1ms 0TOps 40GBs
874.9997658079627	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
974.9997658079625	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
42959.16885245902	GPU-0	L2Loss	1 	5x5x64x192	-	0.0ms 0TOps 30GBs
647549.999765808	GPU-0	Cast	4096x4096 -DstT f16 -SrcT f32 	4096x4096	-	0.7ms 0TOps 200GBs
1799.9997658079626	GPU-0	VariableV2	11x11x3x64 	none	-	0.0ms 0TOps 0GBs
999.9997658079625	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
1749.9997658079628	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
11674.91007025761	GPU-0	AddN	384 -N i: 2 	384	384	0.0ms 0TOps 0GBs
266089.79016393446	GPU-0	Mul	4096x1001 	4096x1001	1	0.3ms 0TOps 120GBs
887.4997658079625	GPU-0	Const	1 	none	-	0.0ms 0TOps 0GBs
12374.940046838406	GPU-0	AddN	256 -N i: 2 	256	256	0.0ms 0TOps 0GBs
57924.99976580796	GPU-0	ApplyGradientDescent	3x3x192x384 -use_locking 0	3x3x192x384	1 3x3x192x384	0.1ms 0TOps 130GBs
9774.999765807963	GPU-0	Cast	1001 -DstT f32 -SrcT f16 	1001	-	0.0ms 0TOps 0GBs
82174.99976580797	GPU-0	Transpose	128x256x6x6 	128x6x6x256	4	0.1ms 0TOps 110GBs
171499.99976580797	GPU-0	Cast	4096x1001 -DstT f32 -SrcT f16 	4096x1001	-	0.2ms 0TOps 180GBs
3924.9997658079624	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
28049.996487119435	GPU-0	AddN	1 -N i: 16 	16x1	-	0.0ms 0TOps 0GBs
52053.175175644035	GPU-0	BiasAddGrad	4096 f16	128x4096	-	0.1ms 0TOps 40GBs
11374.940046838406	GPU-0	Mul	256 	256	1	0.0ms 0TOps 0GBs
9874.999765807963	GPU-0	ApplyGradientDescent	11x11x3x64 -use_locking 0	11x11x3x64	1 11x11x3x64	0.0ms 0TOps 30GBs
845171.5489461358	GPU-0	BiasAddGrad	64 f16	128x64x55x55	-	0.9ms 0TOps 110GBs
12674.955035128805	GPU-0	Mul	192 	192	1	0.0ms 0TOps 0GBs
1199.9997658079626	GPU-0	VariableV2	384 	none	-	0.0ms 0TOps 0GBs
22324.985011709603	GPU-0	Mul	64 	64	1	0.0ms 0TOps 0GBs
10074.985011709603	GPU-0	AddN	64 -N i: 2 	64	64	0.0ms 0TOps 0GBs
301974.99976580794	GPU-0	ApplyGradientDescent	4096x1001 -use_locking 0	4096x1001	1 4096x1001	0.3ms 0TOps 150GBs
649.9997658079626	GPU-0	NoOp	none 	none	-	0.0ms 0TOps 0GBs
1304969.3707259952	GPU-0	L2Loss	1 	4096x1001	-	1.4ms 0TOps 10GBs
987.4997658079624	GPU-0	Const	4 	none	-	0.0ms 0TOps 0GBs
15544.99344262295	GPU-0	Mul	128x1001 	128	128x1001	0.0ms 0TOps 60GBs
78536.28196721314	GPU-0	MatMul	4096x1001 f16 A'	128x4096	128x1001	0.3ms 3TOps 60GBs
40049.99976580796	GPU-0	Cast	3x3x384x256 -DstT f16 -SrcT f32 	3x3x384x256	-	0.0ms 0TOps 170GBs
101989.20281030446	GPU-0	AddN	3x3x384x384 -N i: 2 	3x3x384x384	3x3x384x384	0.1ms 0TOps 150GBs
687.4997658079626	GPU-0	Identity	3x3x384x256 	3x3x384x256	-	0.0ms 0TOps 0GBs
12849.91007025761	GPU-0	Mul	384 	384	1	0.0ms 0TOps 0GBs
164024.99976580797	GPU-0	Cast	4096x1001 -DstT f16 -SrcT f32 	4096x1001	-	0.2ms 0TOps 190GBs
1590729.23793911	GPU-0	BiasAdd	128x192x27x27 f16	128x192x27x27	192	1.7ms 0TOps 90GBs
11599.999765807961	GPU-0	ApplyGradientDescent	384 -use_locking 0	384	1 384	0.0ms 0TOps 0GBs
25702.21592505855	GPU-0	Mul	128x4096 f16	1	128x4096	0.0ms 0TOps 150GBs
336028.093208431	GPU-0	ReluGrad	128x256x13x13 f16	128x256x13x13	128x256x13x13	0.4ms 0TOps 190GBs
876045.9096018736	GPU-0	Mul	4096x4096 	4096x4096	1	0.9ms 0TOps 140GBs
